orderid,latitude,longitude,estimateddeliverytime
1556196,37.412421899999998,-122.101203,207
1556362,37.456350399999998,-122.1811852,703
1556201,37.340753499999998,-121.96684329999999,162
1556342,37.471403199999997,-122.15852630000001,258
1552591,37.825726400000001,-122.28189190000001,218
1552636,37.324076699999999,-121.9947773,1363
1552635,37.476362199999997,-122.22613579999999,166
1552640,37.509391399999998,-122.30333419999999,146
1552763,37.7539692,-122.4873702,86
1552824,37.785722100000001,-122.4679905,86
1552680,37.789789499999998,-122.4074167,860
1552792,37.869065200000001,-122.2821443,102
1552907,37.777113999999997,-122.430924,131
1553001,37.755333899999997,-122.4223361,30
1552967,37.735669000000001,-122.4969255,143
1553003,37.803669900000003,-122.29944399999999,195
1552991,37.798045999999999,-122.432626,167
1552825,32.552800599999998,-117.04324579999999,177
1553098,37.769544500000002,-122.4203761,107
1552892,37.462161299999998,-122.1950473,9
1553133,37.807811200000003,-122.2557781,239
1553105,37.772084300000003,-122.4256987,249
1553240,37.5799558,-122.34218660000001,56
1552971,36.975983900000003,-121.89227,241
1553189,37.717167400000001,-122.45417860000001,196
1553535,34.012452500000002,-118.4578381,1077
1553396,37.904010399999997,-122.2780618,160
1553387,37.764473299999999,-122.4238484,342
1553490,37.649724599999999,-122.43404990000001,103
1553692,37.7673293,-122.2399333,274
1553699,37.773167999999998,-122.48456400000001,263
1553323,37.346174499999996,-121.9414566,134
1553589,37.342486999999998,-121.889062,107
1553647,33.690891299999997,-117.87740909999999,120
1553607,37.785308399999998,-122.4371438,180
1553652,37.339373100000003,-122.038522,90
1553743,37.800436099999999,-122.2422931,214
1553674,32.868158399999999,-117.2320378,339
1553662,37.370379,-121.8536508,3
1553755,37.375515700000001,-122.0364459,94
1553735,37.819650099999997,-122.25717040000001,21
1553867,37.392287000000003,-122.06358760000001,273
1553832,37.7796564,-122.4629985,115
1554027,37.787096900000002,-122.40135960000001,346
1553807,32.955246899999999,-117.22692259999999,227
1553979,34.038094000000001,-118.48035,145
1554085,37.708286000000001,-122.456855,77
1554120,37.3841313,-122.0516966,1
1554260,37.585178999999997,-122.37118,72
1554291,37.812928300000003,-122.2780887,131
1554146,36.972123400000001,-122.0212349,92
1554351,37.864785699999999,-122.2628079,134
1554135,37.581987400000003,-122.3629303,2
1554313,37.622990000000001,-122.41695319999999,122
1554585,37.806874399999998,-122.2728297,121
1554506,37.556191599999998,-122.3496619,142
1554814,37.717158599999998,-122.4831203,167
1554780,37.772816200000001,-122.4290352,71
1554732,37.540376799999997,-122.26809780000001,146
1554819,37.5660709,-122.313788,107
1554821,37.767352899999999,-122.2057607,344
1554654,34.017329799999999,-118.4985077,354
1554859,37.664820300000002,-122.4765826,71
1554911,37.7681483,-122.4168943,46
1555003,37.399217999999998,-122.0249929,20
1554790,36.952851000000003,-122.0539998,125
1554953,33.5511658,-117.7559637,73
1554963,33.910282799999997,-118.15135979999999,31
1555081,37.482349399999997,-122.22757009999999,167
1555048,37.7538026,-122.1701573,1
1555065,37.560234399999999,-122.28416350000001,178
1555166,37.718825899999999,-122.4579138,66
1555177,37.777706999999999,-122.2162955,251
1555314,37.704455699999997,-122.4810209,219
1555329,37.365848800000002,-122.0152726,140
1555351,37.752974999999999,-122.4278619,170
1555385,37.726781099999997,-122.4372589,120
1555396,37.661081899999999,-122.0659294,1038
1555345,32.836557900000003,-117.272896,49
1555421,37.732277000000003,-122.239099,97
1555415,37.798026800000002,-122.4220109,233
1555501,32.757488000000002,-117.128721,102
1555497,32.751426100000003,-117.24365589999999,62
1555484,33.8547692,-118.396869,1
1555588,37.323027500000002,-121.9079279,133
1555612,37.712981200000002,-122.4595628,176
1555626,37.298745599999997,-121.9455056,0
1555661,37.342156000000003,-121.88977300000001,23
1555673,36.974347999999999,-121.984157,166
1555876,37.509755400000003,-122.3147639,253
1555892,37.448960200000002,-122.166037,220
1555898,37.475672000000003,-122.19967560000001,39
1555926,37.4237939,-122.1654108,130
1556018,37.8136826,-122.2558282,145
1556025,37.420956599999997,-122.24601970000001,176
1556176,37.446088000000003,-122.20339679999999,160
1556224,37.768149000000001,-122.452157,160
1556353,37.484970300000001,-122.232169,174
1556358,37.8039761,-122.416168,117
1552642,36.970868299999999,-122.02504949999999,2016
1552644,37.865101000000003,-122.25303099999999,238
1552588,37.844780200000002,-122.274916,135
1552666,37.778577900000002,-122.3917532,220
1552664,37.7611943,-122.1650896,6
1552599,33.918561699999998,-118.41454299999999,157
1552674,37.793948999999998,-122.398062,284
1552808,37.368794100000002,-122.1004714,916
1552801,34.021969499999997,-118.50251299999999,31
1553027,37.413953999999997,-122.192452,475
1552939,32.817141499999998,-117.21728229999999,103
1552941,32.751261900000003,-117.1251212,96
1552970,37.742835599999999,-122.4095396,72
1553067,37.621187800000001,-122.4156229,236
1553014,37.790424999999999,-122.4060257,202
1552913,32.605634000000002,-117.03048,204
1553095,37.788830500000003,-122.43282689999999,24
1553173,37.783141000000001,-122.444213,203
1553142,32.759655799999997,-117.1110087,178
1553188,37.868572200000003,-122.2502313,38
1553302,37.766563499999997,-122.432282,1269
1553140,37.802983900000001,-122.4132877,369
1553321,37.793650300000003,-122.2695842,80
1553318,37.732543,-122.397569,77
1553424,37.413953999999997,-122.192452,3362
1553261,37.634376000000003,-122.4692864,288
1553421,37.786380000000001,-122.39426,57
1553367,37.792751299999999,-122.4174235,170
1553306,32.832617300000003,-117.2179141,70
1553408,37.8137519,-122.24909630000001,57
1553576,37.8182993,-122.2574851,215
1553401,37.792935999999997,-122.41415069999999,232
1553653,37.752923799999998,-122.39303990000001,79
1553644,37.76491,-122.47796200000001,213
1553442,37.435918999999998,-122.118713,61
1553750,32.862715299999998,-117.21762510000001,193
1553885,37.366676300000002,-122.0321213,180
1553762,37.740217600000001,-122.1569235,392
1553892,37.769553700000003,-122.4494002,127
